icon_id,set_id,set_name,label,category,normalized_path,foreground_area_ratio,canny_edge_density,connected_components,quadtree_leaf_count,quadtree_structural_variability,quadtree_mean_leaf_size
03cb65187e88cba6,09_universal_symbols_healthcare_webfont,Universal Symbols Healthcare Webfont,care staff area,healthcare wayfinding,icon_data/normalized_256/09_universal_symbols_healthcare_webfont/care_staff_area__03cb65187e88.png,0.8416748046875,0.03662109375,1.0,838.0,0.20458984375,78.20525059665871
05378ff1c8e8def6,09_universal_symbols_healthcare_webfont,Universal Symbols Healthcare Webfont,fire extinguisher,healthcare wayfinding,icon_data/normalized_256/09_universal_symbols_healthcare_webfont/fire_extinguisher__05378ff1c8e8.png,0.984375,0.0325164794921875,1.0,1.0,0.000244140625,65536.0
053d4c255779f3da,03_mapbox_maki_icons,Mapbox Maki,bicycle,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/bicycle__053d4c255779.png,0.578582763671875,0.001373291015625,1.0,784.0,0.19140625,83.59183673469387
059bf0b262c52022,05_mulberry_symbols,Mulberry Symbols,E,iconsets,icon_data/normalized_256/05_mulberry_symbols/e__059bf0b262c5.png,0.246063232421875,0.015350341796875,1.0,508.0,0.1240234375,129.00787401574803
061b8ab92d29d52e,07_arasaac_pictograms,ARASAAC Pictograms,grandmother,elderly; family,icon_data/normalized_256/07_arasaac_pictograms/10194__061b8ab92d29.png,0.2862701416015625,0.0442352294921875,1.0,613.0,0.149658203125,106.91027732463296
082c5e659f3a2ac9,03_mapbox_maki_icons,Mapbox Maki,college,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/college__082c5e659f3a.png,0.6905517578125,0.0011138916015625,1.0,592.0,0.14453125,110.70270270270271
08364fed95eafaf1,10_openmoji,OpenMoji,flag: Brunei,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e7_1f1f3__08364fed95ea.png,0.4798431396484375,0.039276123046875,1.0,847.0,0.206787109375,77.37426210153482
08d3da8ba9974ed7,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,building closed,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/building_closed__08d3da8ba997.png,0.611480712890625,0.034393310546875,6.0,1147.0,0.280029296875,57.13687881429817
090ca3e2a89db4a0,07_arasaac_pictograms,ARASAAC Pictograms,good,qualifying adjective,icon_data/normalized_256/07_arasaac_pictograms/10197__090ca3e2a89d.png,0.422882080078125,0.04498291015625,1.0,787.0,0.192138671875,83.27318932655655
09bef1532d174fbb,05_mulberry_symbols,Mulberry Symbols,Pluto,iconsets,icon_data/normalized_256/05_mulberry_symbols/pluto__09bef1532d17.png,0.5966033935546875,0.03155517578125,1.0,487.0,0.118896484375,134.57084188911705
09c29f2f131b680a,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga shops,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_shops__09c29f2f131b.png,0.95697021484375,0.045074462890625,1.0,376.0,0.091796875,174.29787234042553
09dd16f828b6f7f2,01_mcdougall_symbol_icon_set,McDougall Symbol/Icon Set,McDougall item 4,,icon_data/normalized_256/01_mcdougall_symbol_icon_set/mcdougall_004__09dd16f828b6.png,0.1353759765625,0.0267181396484375,1.0,847.0,0.206787109375,77.37426210153482
0af8f584a784df9f,10_openmoji,OpenMoji,flag: Bouvet Island,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e7_1f1fb__0af8f584a784.png,0.4892578125,0.03900146484375,1.0,964.0,0.2353515625,67.98340248962656
