rank,distance,source_icon_id,source_set_id,source_set_name,source_label,source_category,source_normalized_path,target_icon_id,target_set_id,target_set_name,target_label,target_category,target_normalized_path
31,0.8911563042304681,569ca78170ef30ad,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W026,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w026__569ca78170ef.png,71bd84f092815ba6,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,epidemic,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/epidemic__71bd84f09281.png
32,0.9038100098647612,5e385afcc791cef6,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga bus,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_bus__5e385afcc791.png,9a961a17a6716c5f,03_mapbox_maki_icons,Mapbox Maki,home,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/home__9a961a17a671.png
33,0.9065110728535032,3ae85d1803f6fd0e,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W006,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w006__3ae85d1803f6.png,7ec398ff09ac8543,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,camp coordination and camp management,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/camp_coordination_and_camp_management__7ec398ff09ac.png
34,0.9073841188825562,5942b680f6726c6b,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W031,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w031__5942b680f672.png,daf8ff6405884069,06_blissymbolics,Blissymbolics,aunt,Blissymbolics char,icon_data/normalized_256/06_blissymbolics/aunt_28909cfb89b1__daf8ff640588.png
35,0.9095225698799987,b9de8a34c070b448,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,alert,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/alert__b9de8a34c070.png,d8b035da8f412942,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W034,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w034__d8b035da8f41.png
36,0.9112642909881589,71bd84f092815ba6,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,epidemic,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/epidemic__71bd84f09281.png,a550646e3a8c8903,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W017,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w017__a550646e3a8c.png
37,0.9157611988054993,0ca7c67b9607dd2a,13_usp_pictograms_manual,USP Pictograms,47,medication instruction,icon_data/normalized_256/13_usp_pictograms_manual/47__0ca7c67b9607.png,161d8c4c3de951fb,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W014,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w014__161d8c4c3de9.png
38,0.9163515131998938,315c1a46ae0e5e14,03_mapbox_maki_icons,Mapbox Maki,cemetery,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/cemetery__315c1a46ae0e.png,9aa76e1c2ac046a2,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,distribution site,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/distribution_site__9aa76e1c2ac0.png
39,0.9166725016379614,7077cdcc94cf4878,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,agile,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/agile__7077cdcc94cf.png,b8170c7e62df15a5,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W038,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w038__b8170c7e62df.png
40,0.9195544239499863,70f95fbb8f91b253,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W028,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w028__70f95fbb8f91.png,7ec398ff09ac8543,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,camp coordination and camp management,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/camp_coordination_and_camp_management__7ec398ff09ac.png
