icon_id,method,variant,k,cluster,quality_score
40e393bed618cc42,kmeans,image,3,2,0.48288
dd259e27900bf9f3,kmeans,image,3,2,0.48288
5e385afcc791cef6,kmeans,image,3,2,0.48288
cf87e7ba473875c5,kmeans,image,3,1,0.48288
cba3c54a651b13c2,kmeans,image,3,1,0.48288
4b6dc51334050530,kmeans,image,3,1,0.48288
0b5e70af0684900a,kmeans,image,3,1,0.48288
b36cda40d4e7f68a,kmeans,image,3,1,0.48288
79a746e1ce3aea8f,kmeans,image,3,1,0.48288
f1209f1a3da4b4eb,kmeans,image,3,1,0.48288
a33b58d3f4327fa1,kmeans,image,3,2,0.48288
7f5e1062793c8e1d,kmeans,image,3,2,0.48288
81cdfb4479630d2b,kmeans,image,3,1,0.48288
39344638f6049ace,kmeans,image,3,2,0.48288
96955357c8bb7589,kmeans,image,3,2,0.48288
19d523b4ad794653,kmeans,image,3,2,0.48288
da1cc0b972f266c1,kmeans,image,3,2,0.48288
cb84e329bdddd496,kmeans,image,3,2,0.48288
71d9b56ddfc7f71c,kmeans,image,3,2,0.48288
7a833deb4dabbc17,kmeans,image,3,2,0.48288
13a78b0fc670a3e7,kmeans,image,3,1,0.48288
cfb5182dc1998eb7,kmeans,image,3,2,0.48288
5f9147febc575092,kmeans,image,3,2,0.48288
a8caa064219d1a01,kmeans,image,3,2,0.48288
eeb6b3cdd0343f66,kmeans,image,3,2,0.48288
9f76b8dc9f07a76c,kmeans,image,3,2,0.48288
517100f01a1d3fad,kmeans,image,3,1,0.48288
d166e71133e07068,kmeans,image,3,1,0.48288
453de2a0ac7e4646,kmeans,image,3,1,0.48288
a92f8680959133bd,kmeans,image,3,2,0.48288
28786d99b5925991,kmeans,image,3,2,0.48288
e383e6a5a9c495a3,kmeans,image,3,1,0.48288
7616bb30c75b6877,kmeans,image,3,1,0.48288
a7d66717384d32a7,kmeans,image,3,1,0.48288
22dd7014ca4e0926,kmeans,image,3,1,0.48288
91e01065df8070b4,kmeans,image,3,0,0.48288
0e14f4458e64764c,kmeans,image,3,2,0.48288
d3a0982f1bf0c15d,kmeans,image,3,1,0.48288
b968762ee8180718,kmeans,image,3,2,0.48288
dbacbbee1b8418a3,kmeans,image,3,0,0.48288
32d08149ef2bc303,kmeans,image,3,2,0.48288
5c000c0625ba1fb6,kmeans,image,3,2,0.48288
67e21585d8368692,kmeans,image,3,1,0.48288
9741497fa74a6912,kmeans,image,3,2,0.48288
7ab893955ce53d32,kmeans,image,3,1,0.48288
2be691e9e2767ce5,kmeans,image,3,1,0.48288
56fca77111ffbd13,kmeans,image,3,2,0.48288
d8304814c8c214ff,kmeans,image,3,2,0.48288
09c29f2f131b680a,kmeans,image,3,0,0.48288
a775dde68401f18c,kmeans,image,3,2,0.48288
7356c61eeb1541c5,kmeans,image,3,2,0.48288
32e2a077d1fc979a,kmeans,image,3,2,0.48288
1c1aa60214ea9790,kmeans,image,3,1,0.48288
54f11c59f9368886,kmeans,image,3,2,0.48288
8d956b8fd66bfd40,kmeans,image,3,2,0.48288
d7796777d41886a0,kmeans,image,3,1,0.48288
575e76a069516a8f,kmeans,image,3,1,0.48288
c4a09fba92005581,kmeans,image,3,1,0.48288
6f7a2c6a268cf895,kmeans,image,3,1,0.48288
20975ff5f9cc4caf,kmeans,image,3,2,0.48288
a731ae58d6d66351,kmeans,image,3,2,0.48288
e64d4e32ce5a8902,kmeans,image,3,1,0.48288
951be4fa343dfcc3,kmeans,image,3,2,0.48288
addb113096d7709e,kmeans,image,3,1,0.48288
3c565e2bb89eeee5,kmeans,image,3,0,0.48288
7a39adc327fef601,kmeans,image,3,1,0.48288
fc88d6db39aac7ac,kmeans,image,3,2,0.48288
d74e97163a1f4662,kmeans,image,3,2,0.48288
2d0b6a811ed52a56,kmeans,image,3,1,0.48288
7053d892be0ae98f,kmeans,image,3,2,0.48288
cba9f9e738878828,kmeans,image,3,2,0.48288
5423a69d6b2b2b86,kmeans,image,3,2,0.48288
d1ba84dd83f9e198,kmeans,image,3,2,0.48288
4adf7015d19b2bf8,kmeans,image,3,2,0.48288
849995188db781d7,kmeans,image,3,1,0.48288
ea948ff387b812ea,kmeans,image,3,2,0.48288
5e3fe9ea27623741,kmeans,image,3,2,0.48288
90294276054ef248,kmeans,image,3,2,0.48288
fddaa12f9e8db58b,kmeans,image,3,2,0.48288
26246a410ab5f5fc,kmeans,image,3,2,0.48288
8473f788423c44e7,kmeans,image,3,2,0.48288
865152ade99fa180,kmeans,image,3,2,0.48288
8acf14e30966ddb4,kmeans,image,3,2,0.48288
10234615d20909f9,kmeans,image,3,2,0.48288
545036e4a4a01391,kmeans,image,3,2,0.48288
863377ed74499267,kmeans,image,3,2,0.48288
fb16611eda027b3f,kmeans,image,3,2,0.48288
053d4c255779f3da,kmeans,image,3,2,0.48288
9a43e4222a4284dc,kmeans,image,3,2,0.48288
8c36a9c438f30d0b,kmeans,image,3,2,0.48288
4eb4cb768b20b079,kmeans,image,3,2,0.48288
76af4840134a7355,kmeans,image,3,2,0.48288
9ed14749475a0308,kmeans,image,3,1,0.48288
4d4a0b83176ec005,kmeans,image,3,2,0.48288
5d86a6cf79186361,kmeans,image,3,2,0.48288
51d80cf1656e9432,kmeans,image,3,2,0.48288
10635378bfac6cb2,kmeans,image,3,2,0.48288
782bc7d9e9f42204,kmeans,image,3,1,0.48288
856aa2ce232f9bc0,kmeans,image,3,2,0.48288
633d125136da3e33,kmeans,image,3,2,0.48288
8599b2f6e6959bb2,kmeans,image,3,2,0.48288
d0c0ab7c7e910d84,kmeans,image,3,2,0.48288
6ed6ebc936f61661,kmeans,image,3,2,0.48288
005bcfe142158bf0,kmeans,image,3,2,0.48288
315c1a46ae0e5e14,kmeans,image,3,2,0.48288
ce7c0d5d2acaf790,kmeans,image,3,2,0.48288
d5bcbb12e0c2cfc4,kmeans,image,3,2,0.48288
0bc7b42c3a6c791e,kmeans,image,3,2,0.48288
ce2045d9f501bec1,kmeans,image,3,2,0.48288
c51f7cbaacbb516d,kmeans,image,3,2,0.48288
c1fe10b957ecb8aa,kmeans,image,3,2,0.48288
c1531f2f3b3ce601,kmeans,image,3,2,0.48288
082c5e659f3a2ac9,kmeans,image,3,2,0.48288
38230343f6566796,kmeans,image,3,2,0.48288
48d5a56e453c44b1,kmeans,image,3,2,0.48288
a56e7bfc7d2c1661,kmeans,image,3,2,0.48288
0050c13101710bb3,kmeans,image,3,2,0.48288
f7ca89edb397a88d,kmeans,image,3,2,0.48288
bcf5e0e6e8900b38,kmeans,image,3,2,0.48288
93b6137410d441ee,kmeans,image,3,2,0.48288
1407da7245b3d6fa,kmeans,image,3,2,0.48288
7e75e19f7884d74c,kmeans,image,3,2,0.48288
70c66f7df237db99,kmeans,image,3,2,0.48288
439673af454e212d,kmeans,image,3,2,0.48288
f417df4ed4f3890e,kmeans,image,3,2,0.48288
e74717ef0d0ae17c,kmeans,image,3,2,0.48288
cb5766817ef7b577,kmeans,image,3,2,0.48288
b309a2a6c7d1f831,kmeans,image,3,2,0.48288
10a12861bfd41cb7,kmeans,image,3,2,0.48288
48bdae15a55512d3,kmeans,image,3,2,0.48288
a1475db449de22a6,kmeans,image,3,2,0.48288
99a91cd1040d7fb9,kmeans,image,3,1,0.48288
7086ab62c00bb137,kmeans,image,3,2,0.48288
ad91312ce6c8ca6c,kmeans,image,3,2,0.48288
0117443b502ff216,kmeans,image,3,2,0.48288
c083fe1a331cc852,kmeans,image,3,2,0.48288
27a827006c95046c,kmeans,image,3,2,0.48288
9cb9072e481b2627,kmeans,image,3,2,0.48288
50803b0fa0bc7dbb,kmeans,image,3,2,0.48288
ca282d9b8d67354b,kmeans,image,3,2,0.48288
64a30d6a57900c26,kmeans,image,3,2,0.48288
ee325e9428f2c308,kmeans,image,3,1,0.48288
a726a4905f6c5858,kmeans,image,3,1,0.48288
37c0dc56b42a1b93,kmeans,image,3,2,0.48288
0de655bf41d15d27,kmeans,image,3,2,0.48288
b65bfe46733b8163,kmeans,image,3,2,0.48288
7f8bb04a51977a29,kmeans,image,3,2,0.48288
af52f65b07817eea,kmeans,image,3,2,0.48288
12cf36cf5b20fc8d,kmeans,image,3,2,0.48288
9f3a9f680953b7bc,kmeans,image,3,2,0.48288
3ce595da6f513899,kmeans,image,3,2,0.48288
602be90c193d63b2,kmeans,image,3,2,0.48288
99778fe6e845e785,kmeans,image,3,2,0.48288
23c0549124f39fdc,kmeans,image,3,2,0.48288
a6de329fe05595c3,kmeans,image,3,2,0.48288
60ad0a84fc9632f9,kmeans,image,3,2,0.48288
7e5d94ac4461f5ab,kmeans,image,3,2,0.48288
a871075faade7dfe,kmeans,image,3,2,0.48288
56bf49614a369441,kmeans,image,3,2,0.48288
9a961a17a6716c5f,kmeans,image,3,2,0.48288
bbdb16044679062a,kmeans,image,3,2,0.48288
11df3d2ef52a9285,kmeans,image,3,2,0.48288
45d94eaae0a915ae,kmeans,image,3,2,0.48288
61cc21dd588b47eb,kmeans,image,3,1,0.48288
2aa37ac1a5787b5b,kmeans,image,3,2,0.48288
1dbfa7824219b1be,kmeans,image,3,2,0.48288
be6faf870910b02c,kmeans,image,3,0,0.48288
3846c3bc0cdaa713,kmeans,image,3,0,0.48288
1fbf9d60526c0768,kmeans,image,3,2,0.48288
a754e61c95e4fe18,kmeans,image,3,2,0.48288
a3f9acad014dd8c6,kmeans,image,3,1,0.48288
7077cdcc94cf4878,kmeans,image,3,0,0.48288
a09e21ebdedab5a7,kmeans,image,3,0,0.48288
bb7408292c419c34,kmeans,image,3,1,0.48288
d879928d5d662c7b,kmeans,image,3,1,0.48288
dced7e945687618c,kmeans,image,3,1,0.48288
1b15aa32b97e99c0,kmeans,image,3,2,0.48288
5606829325a28d03,kmeans,image,3,1,0.48288
816b86edbeb4132c,kmeans,image,3,2,0.48288
b9de8a34c070b448,kmeans,image,3,2,0.48288
b7d9a21d03ad49ad,kmeans,image,3,1,0.48288
18383e2129c8408b,kmeans,image,3,1,0.48288
8f61498c403f2947,kmeans,image,3,1,0.48288
fcda1531085a0ba5,kmeans,image,3,2,0.48288
3e11b44e18229d29,kmeans,image,3,1,0.48288
ac5a5d931d0bb127,kmeans,image,3,1,0.48288
9717e25f4ef2d9d3,kmeans,image,3,1,0.48288
bdd745c2d8c16514,kmeans,image,3,0,0.48288
3b1a1187c76d2513,kmeans,image,3,0,0.48288
e9d53d00d7ddb27c,kmeans,image,3,2,0.48288
3b5b7189558717b0,kmeans,image,3,2,0.48288
971db43104c2be50,kmeans,image,3,1,0.48288
21cd17017298cd14,kmeans,image,3,1,0.48288
932af6d0685fa252,kmeans,image,3,2,0.48288
a71a9f685a222d66,kmeans,image,3,2,0.48288
460c2174eba3949a,kmeans,image,3,2,0.48288
6f467e370375ad8a,kmeans,image,3,2,0.48288
d138c4c104f3a785,kmeans,image,3,2,0.48288
e0b937854c78230b,kmeans,image,3,2,0.48288
96efa84abf46b3de,kmeans,image,3,2,0.48288
597a893297e709dd,kmeans,image,3,0,0.48288
27f9f33f5a2b3012,kmeans,image,3,1,0.48288
08d3da8ba9974ed7,kmeans,image,3,1,0.48288
f7ce5773fb8e052e,kmeans,image,3,1,0.48288
0bc024cae070cc1b,kmeans,image,3,1,0.48288
a2d4f891006b2053,kmeans,image,3,1,0.48288
2a560b7cd2d9862a,kmeans,image,3,2,0.48288
5eafbd9c46e9f61e,kmeans,image,3,1,0.48288
1ab237a6af822011,kmeans,image,3,0,0.48288
7ec398ff09ac8543,kmeans,image,3,0,0.48288
419fcc4f4a0d15e4,kmeans,image,3,0,0.48288
b3f82ed91b159a80,kmeans,image,3,1,0.48288
a2849a77c6027ed0,kmeans,image,3,2,0.48288
5ff081db06c207dd,kmeans,image,3,1,0.48288
f83c74d4dd3de121,kmeans,image,3,1,0.48288
1c51d643ded6e874,kmeans,image,3,0,0.48288
231b8a3f8268881f,kmeans,image,3,0,0.48288
22fb6ea232dd962d,kmeans,image,3,1,0.48288
8c8fe82ab42c58d3,kmeans,image,3,0,0.48288
47e3bd73efa382ae,kmeans,image,3,1,0.48288
4c1e7b0088d25b08,kmeans,image,3,1,0.48288
7ac2ba0da1448168,kmeans,image,3,0,0.48288
c9e4fa22bc2a7d6a,kmeans,image,3,1,0.48288
137eeebdee24eb53,kmeans,image,3,1,0.48288
483ec0cd8c82a61d,kmeans,image,3,2,0.48288
9b8db9ceca7b745d,kmeans,image,3,0,0.48288
6e0d4fcc0f2a575e,kmeans,image,3,0,0.48288
24a03b56084ec7f0,kmeans,image,3,2,0.48288
ded26fef294285a1,kmeans,image,3,2,0.48288
5786f314791a3349,kmeans,image,3,1,0.48288
c717fb6948d4373d,kmeans,image,3,1,0.48288
3f7239a92c820040,kmeans,image,3,2,0.48288
15eae1fecd0afd94,kmeans,image,3,1,0.48288
8a0d055967c1fa67,kmeans,image,3,1,0.48288
827a06d7d1a63dd1,kmeans,image,3,1,0.48288
46f16d10f5e6d6d5,kmeans,image,3,2,0.48288
786bfbb67f300c8a,kmeans,image,3,0,0.48288
5fb96a680c16e296,kmeans,image,3,1,0.48288
4f78ac391bcce711,kmeans,image,3,2,0.48288
fd46387c8add6704,kmeans,image,3,2,0.48288
d90a53fc6a52fc3e,kmeans,image,3,0,0.48288
e6fa7ad07cdc064f,kmeans,image,3,0,0.48288
bd0846cac643fbd3,kmeans,image,3,0,0.48288
5e3b9d9f5106cdb5,kmeans,image,3,1,0.48288
ca23afbda277bc1a,kmeans,image,3,1,0.48288
9936e5d24a9d04e4,kmeans,image,3,1,0.48288
6841a2502ed1d6fe,kmeans,image,3,2,0.48288
9628a35aba74c3ab,kmeans,image,3,2,0.48288
9aa76e1c2ac046a2,kmeans,image,3,2,0.48288
99ecaad15ea16c98,kmeans,image,3,2,0.48288
3ee6ebc731d8e10f,kmeans,image,3,2,0.48288
7ab1784d29fe4429,kmeans,image,3,0,0.48288
f29e44fba07b073d,kmeans,image,3,2,0.48288
ed5fe56c4b108d43,kmeans,image,3,1,0.48288
923f97d8add3610f,kmeans,image,3,1,0.48288
daa1fde0ba6f8545,kmeans,image,3,0,0.48288
edfa3e2542af43be,kmeans,image,3,0,0.48288
d3540cffc32f571d,kmeans,image,3,0,0.48288
2677bfaad3ac779e,kmeans,image,3,2,0.48288
159d8268e9d3a830,kmeans,image,3,2,0.48288
252594db039d92a6,kmeans,image,3,0,0.48288
3b5dfa86d4d488d4,kmeans,image,3,0,0.48288
cfe619b95fb327f9,kmeans,image,3,2,0.48288
71bd84f092815ba6,kmeans,image,3,0,0.48288
463861ba40ca24a5,kmeans,image,3,2,0.48288
0b536ae36e8ac25f,kmeans,image,3,2,0.48288
d4210720f38f1b27,kmeans,image,3,1,0.48288
e06f2924b7be0828,kmeans,image,3,2,0.48288
5da31a704bb7bef9,kmeans,image,3,1,0.48288
fb3be16d10b0196f,kmeans,image,3,2,0.48288
799c869131311255,kmeans,image,3,1,0.48288
c0bca04634f803ce,kmeans,image,3,1,0.48288
35b6f00407e60514,kmeans,image,3,2,0.48288
805e7bde4faca681,kmeans,image,3,2,0.48288
3a4162068d875c86,kmeans,image,3,2,0.48288
3c1f73867593effd,kmeans,image,3,1,0.48288
680d630d2b213ebc,kmeans,image,3,1,0.48288
171fb3728439114d,kmeans,image,3,1,0.48288
e53a47b5300662eb,kmeans,image,3,2,0.48288
49ca9fbeb665b154,kmeans,image,3,2,0.48288
bee446dc2d4c2aad,kmeans,image,3,1,0.48288
67f2d327d1391574,kmeans,image,3,2,0.48288
b601cb290be4376e,kmeans,image,3,2,0.48288
5c0453002753f864,kmeans,image,3,2,0.48288
ca5abe3bb570b6c5,kmeans,image,3,2,0.48288
ec6eb5391460a566,kmeans,image,3,2,0.48288
d15f06894cecabac,kmeans,image,3,1,0.48288
64f9b5239f33fa5c,kmeans,image,3,2,0.48288
41b35984d0dd61ce,kmeans,image,3,2,0.48288
