method,variant,k,cluster,size,top_sets,representative_icon_ids
hierarchical,combined,7,1,4,"[[""McDougall Symbol/Icon Set"", 4]]",671222e19754e444 276e0f48b2aecf30 121de65a284465c5 c0b01f650a9f3047
hierarchical,combined,7,2,1,"[[""McDougall Symbol/Icon Set"", 1]]",3167ff62be4a1ae7
hierarchical,combined,7,3,1,"[[""McDougall Symbol/Icon Set"", 1]]",7cb54d2ffd287b95
hierarchical,combined,7,4,2,"[[""McDougall Symbol/Icon Set"", 2]]",af8efb82a3eaf250 2dfb8baa45944a16
hierarchical,combined,7,5,1,"[[""McDougall Symbol/Icon Set"", 1]]",b5c1200b37f8968d
hierarchical,combined,7,6,119,"[[""AIGA/DOT Symbol Signs"", 10], [""Mapbox Maki"", 10], [""OCHA Humanitarian Icons"", 10], [""Mulberry Symbols"", 10], [""Blissymbolics"", 10]]",34ba5b6f56c34d2d 47e3bd73efa382ae 6a09c26401d7753b 633d125136da3e33 70c66f7df237db99 bbdb16044679062a bd7774dcad9acd79 ca282d9b8d67354b
hierarchical,combined,10,0,1,"[[""McDougall Symbol/Icon Set"", 1]]",38fcc454e8b76e8a
hierarchical,combined,10,1,3,"[[""McDougall Symbol/Icon Set"", 3]]",671222e19754e444 276e0f48b2aecf30 121de65a284465c5
hierarchical,combined,10,2,1,"[[""McDougall Symbol/Icon Set"", 1]]",3167ff62be4a1ae7
hierarchical,combined,10,3,1,"[[""McDougall Symbol/Icon Set"", 1]]",7cb54d2ffd287b95
hierarchical,combined,10,4,1,"[[""McDougall Symbol/Icon Set"", 1]]",c0b01f650a9f3047
hierarchical,combined,10,5,2,"[[""McDougall Symbol/Icon Set"", 2]]",af8efb82a3eaf250 2dfb8baa45944a16
hierarchical,combined,10,6,1,"[[""McDougall Symbol/Icon Set"", 1]]",b5c1200b37f8968d
hierarchical,combined,10,7,115,"[[""AIGA/DOT Symbol Signs"", 10], [""Mapbox Maki"", 10], [""OCHA Humanitarian Icons"", 10], [""Mulberry Symbols"", 10], [""Blissymbolics"", 10]]",34ba5b6f56c34d2d 47e3bd73efa382ae 6a09c26401d7753b 633d125136da3e33 bbdb16044679062a 70c66f7df237db99 bd7774dcad9acd79 ca282d9b8d67354b
hierarchical,combined,10,8,1,"[[""GHS Hazard Pictograms"", 1]]",cddd255cbebb9d8e
hierarchical,combined,10,9,3,"[[""Universal Symbols Healthcare Webfont"", 3]]",39719b9e379a0e17 4e6eb33dee2b707c 6ff9dd295e18ba9b
