method,variant,k,cluster,size,top_sets,representative_icon_ids
kmeans,metadata,3,1,90,"[[""McDougall Symbol/Icon Set"", 10], [""AIGA/DOT Symbol Signs"", 10], [""Mapbox Maki"", 10], [""OCHA Humanitarian Icons"", 10], [""Mulberry Symbols"", 10]]",520986b8f519cbf8 8419e26eaf8a2ed7 a6380f9f07fe0748 0a8d3ea6a14b7694 34ba5b6f56c34d2d 8ccac8fbcc5ef442 60fafea65eec88ff f81f3d24abe2590e
kmeans,metadata,3,2,29,"[[""ARASAAC Pictograms"", 10], [""USP Pictograms"", 10], [""GHS Hazard Pictograms"", 9]]",6a09c26401d7753b db7e3477d2e2096c e93973679234ed81 67facd157d491218 35be32b4253e6b7e 2b5b06037a00ac7f 09f287549c50a508 786becad40b24f1e
kmeans,metadata,5,0,6,"[[""OpenMoji"", 6]]",f0a0fb220faa1075 f3b6090794574209 960c8c87ff30f1bf 6d73856e7180fb8d 0b97f051d6187ce8 709929ff886fee1d
kmeans,metadata,5,1,10,"[[""Blissymbolics"", 10]]",7f0b8a0a616b25e4 067dab84101e4d40 9c32fad280ea8306 d688ea743859b0af c7f27f7fd0d5d77b e0bee5c0b0d5a7d6 f3ac148d14f99a51 9b513da0bbf6fec5
kmeans,metadata,5,2,4,"[[""OpenMoji"", 4]]",7e81760c1b53d064 9099811c08fecfa1 d35e50aec0a064c5 a1b878174fb512f0
kmeans,metadata,5,3,10,"[[""McDougall Symbol/Icon Set"", 10]]",c0b01f650a9f3047 38fcc454e8b76e8a 2dfb8baa45944a16 3167ff62be4a1ae7 276e0f48b2aecf30 671222e19754e444 b5c1200b37f8968d af8efb82a3eaf250
kmeans,metadata,5,4,99,"[[""AIGA/DOT Symbol Signs"", 10], [""Mapbox Maki"", 10], [""OCHA Humanitarian Icons"", 10], [""Mulberry Symbols"", 10], [""ARASAAC Pictograms"", 10]]",f81f3d24abe2590e 60fafea65eec88ff 8ccac8fbcc5ef442 520986b8f519cbf8 34ba5b6f56c34d2d 0a8d3ea6a14b7694 a6380f9f07fe0748 8419e26eaf8a2ed7
kmeans,metadata,7,0,70,"[[""AIGA/DOT Symbol Signs"", 10], [""Mapbox Maki"", 10], [""OCHA Humanitarian Icons"", 10], [""Mulberry Symbols"", 10], [""Universal Symbols Healthcare Webfont"", 10]]",520986b8f519cbf8 8419e26eaf8a2ed7 a6380f9f07fe0748 0a8d3ea6a14b7694 34ba5b6f56c34d2d 8ccac8fbcc5ef442 60fafea65eec88ff f81f3d24abe2590e
kmeans,metadata,7,1,10,"[[""ARASAAC Pictograms"", 10]]",ab4c6a5c76f157ea 255623028b70fd39 92617f40c2c43b99 8025a575373cd6a9 a51195a2d92d9ff2 97bbfcfc069b7629 52c97289f9c9f6dc 4ca95e3d476453ba
kmeans,metadata,7,2,10,"[[""McDougall Symbol/Icon Set"", 10]]",c0b01f650a9f3047 38fcc454e8b76e8a 2dfb8baa45944a16 3167ff62be4a1ae7 276e0f48b2aecf30 671222e19754e444 b5c1200b37f8968d af8efb82a3eaf250
kmeans,metadata,7,3,10,"[[""ISO 7010 Safety Signs"", 10]]",017f18f80c2b6bb0 3ae85d1803f6fd0e b8d532b96649ad9b 3fc360c5c4e56a82 672c5ac5c05045ac 969d2464f703154e 9198bbcd6bccdff0 8eb2ae5e436bf3d9
kmeans,metadata,7,4,9,"[[""GHS Hazard Pictograms"", 9]]",6bfd058b52069703 cddd255cbebb9d8e 65ab556300024c0b 832f13e7c3d03100 e6a519ba8dd89268 77256bc1bfc6a972 9fc96269778b3b35 a2d4a495cac2adae
kmeans,metadata,7,5,10,"[[""Blissymbolics"", 10]]",7f0b8a0a616b25e4 067dab84101e4d40 9c32fad280ea8306 d688ea743859b0af c7f27f7fd0d5d77b e0bee5c0b0d5a7d6 f3ac148d14f99a51 9b513da0bbf6fec5
kmeans,metadata,7,6,10,"[[""USP Pictograms"", 10]]",09f287549c50a508 2b5b06037a00ac7f 35be32b4253e6b7e 67facd157d491218 e93973679234ed81 db7e3477d2e2096c 786becad40b24f1e 6a09c26401d7753b
kmeans,metadata,10,0,20,"[[""AIGA/DOT Symbol Signs"", 10], [""ISO 7010 Safety Signs"", 10]]",80b2d92acb1f6d71 8eb2ae5e436bf3d9 9198bbcd6bccdff0 969d2464f703154e 672c5ac5c05045ac 3fc360c5c4e56a82 b8d532b96649ad9b 3ae85d1803f6fd0e
kmeans,metadata,10,1,9,"[[""GHS Hazard Pictograms"", 9]]",6bfd058b52069703 cddd255cbebb9d8e 65ab556300024c0b 832f13e7c3d03100 e6a519ba8dd89268 77256bc1bfc6a972 9fc96269778b3b35 a2d4a495cac2adae
kmeans,metadata,10,2,10,"[[""Blissymbolics"", 10]]",7f0b8a0a616b25e4 067dab84101e4d40 9c32fad280ea8306 d688ea743859b0af c7f27f7fd0d5d77b e0bee5c0b0d5a7d6 f3ac148d14f99a51 9b513da0bbf6fec5
kmeans,metadata,10,3,10,"[[""USP Pictograms"", 10]]",09f287549c50a508 2b5b06037a00ac7f 35be32b4253e6b7e 67facd157d491218 e93973679234ed81 db7e3477d2e2096c 786becad40b24f1e 6a09c26401d7753b
kmeans,metadata,10,4,10,"[[""ARASAAC Pictograms"", 10]]",ab4c6a5c76f157ea 255623028b70fd39 92617f40c2c43b99 8025a575373cd6a9 a51195a2d92d9ff2 97bbfcfc069b7629 52c97289f9c9f6dc 4ca95e3d476453ba
kmeans,metadata,10,5,10,"[[""ISO 15223 Medical Device Symbols"", 10]]",f1c82e0e3033e0f2 4ce46f5f8d9a06ef 0db27129c0b71a97 cad61736ae362480 e6e2d33ceb0e83af 0dbe74d0ea5067c3 397929e89a5a2bf0 9875309b29ecca62
kmeans,metadata,10,6,20,"[[""Mapbox Maki"", 10], [""OpenMoji"", 10]]",26246a410ab5f5fc 9099811c08fecfa1 7e81760c1b53d064 d35e50aec0a064c5 c4317c54e3675826 6cd75929d0d2a3f0 bbdb16044679062a 70c66f7df237db99
kmeans,metadata,10,7,10,"[[""McDougall Symbol/Icon Set"", 10]]",c0b01f650a9f3047 38fcc454e8b76e8a 2dfb8baa45944a16 3167ff62be4a1ae7 276e0f48b2aecf30 671222e19754e444 b5c1200b37f8968d af8efb82a3eaf250
kmeans,metadata,10,8,20,"[[""Mulberry Symbols"", 10], [""Universal Symbols Healthcare Webfont"", 10]]",59f7cf4b24c41dc4 e0760c68f28e0892 ab45fc2620cc66ce 4e6eb33dee2b707c 31f94ec85b9130e2 39719b9e379a0e17 66cc7c6ebe473f7b bd7774dcad9acd79
kmeans,metadata,10,9,10,"[[""OCHA Humanitarian Icons"", 10]]",47e3bd73efa382ae ccaf59c0ceb35dab 5cea9f126476238d 714e0ea28c0b44d6 d2908bcd850fab66 946f5783ecc3c3d3 8b56c33a174b9ce3 13c91a98bdfe97db
hierarchical,metadata,3,0,9,"[[""McDougall Symbol/Icon Set"", 9]]",c0b01f650a9f3047 38fcc454e8b76e8a 276e0f48b2aecf30 3167ff62be4a1ae7 671222e19754e444 2dfb8baa45944a16 b5c1200b37f8968d 121de65a284465c5
hierarchical,metadata,3,1,1,"[[""McDougall Symbol/Icon Set"", 1]]",7cb54d2ffd287b95
